UC,ID,source_content,target_content,label
4.txt,32.txt,"Inserting anagrafica doctor 
It allows the operator to input 
                the anagrafica of a doctor who works 
                at the outpatient 
                The Operator is responsible to 
                input of doctor anagrafica
                in the S I O 
The Operator has been recognized by ` 
                System (See UcValOp) and has 
                all the data that characterize 
                the doctor anagrafica
The data in the S I O 
                not be modified 
                Success: The doctor anagrafica is 
                correctly inserted in the 
                I S O 
The operator activates the execution of 
                input service of the 
                doctor anagrafica
1 View the mask 
     for input of 
     needed information 
2 Inserts data of doctor anagrafica
3 Confirm input
4 Verify the data insert by operator
5 Stores data 
6 Notify that the operation 
     is finished with 
     success 
Data entered invalid 
   4 1 Display a message showing the 
          data deemed invalid 
   4 2 take back running from point 1 
          underpinned the fields of the form with data 
          insert by operator
Operator cancels operation 
3 1 ends the execution of use case with 
          failure 
   2 1 The age of a physician is `characterized by 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          telephone specialization year 
          certification and additional notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correct completion of the operation","Login failed validation Operator Scenario 
     The service was launched following the explicit request 
by the actor Operator The access to the screen 
on the management of the system (for instance 
GUILogin) enter login and password and check the function 
The validation then passes control to the instance of 
GUILoginHandler which delegates to the instance of OperatoreManager 
the task of managing the latter deals with 
validate the data entered by using the panel 
The operator of the negative outcome is notified 
backward up to the instance of which shall GUILoginHandler 
to display an error message on 
mask GUILogin This feature is was described by 
sequence diagram of Fig 3 3",0
2.txt,36.txt,"Changing anagrafica laboratory 
It allows the operator to change 
                the anagrafica of a laboratory analysis 
                It deals with the modification of data 
                about anagrafica of laboratory 
                analysis 
The Operator has been recognized by 
                System (See UcValOp) and anagrafica 
                Laboratory is inside the 
                I S O 
The anagrafica data of 
                laboratory are not changed: 
                remain in the state this first 
                of 
                Success: The anagrafica of the laboratory 
                is properly amended 
The operator activates the execution of 
                Service changing of the anagrafica of 
                laboratory 
1 View the list of 
     laboratories 
     in the S I O 
2 Select the laboratory  Which change 
                               the anagrafica 
3 Confirm your selection 
4 View the mask 
     for editing 
    the anagrafica of 
     laboratory 
5 Changing the angrafica of 
                               laboratory 
Confirm the changes 6 
7 Verify the data insert by operator
8 Remember the 
     updates 
9 Notify  that the operation 
     it is finished with 
     success 
Data entered invalid 
   7 1 Display a message showing the 
          data deemed invalid 
   7 2 Reinserts running from 4 
          underpinned the fields of the form with data 
          Entered 
Operator cancels operation 
  3 1 ends the execution of use case with 
   6 1 failure 
   5 1 The anagrafica of a laboratory is characterized ` 
          by the following data: name VAT 
          address city province CAP addresses 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the proper completion of","Record visit 

     This feature is has been described by 
collaboration diagrams of Fig 3 21 the main scenario: the 
service is started following the explicit request 
The actor part of the operator access to the mask 
main (for instance GUIPrincipale) and there select the function 
The management visits then passes control to the instance of 
GUIPrincipaleHandler which delegates to the instance of 
GUIVisitaHandler the task of providing the service The first step 
is to obtain a list of all visits 
in outpatient therefore control passes to the instance of 
VisiteManager Through an iterative process are the goods 
retrieval of all visits and every step is made in 
as follows: the panel found through VisiteManager 
The body of data on visits to a visit and 
then passes control to the instance of that EsamiManager 
provides through instances of Examination for finding all 
examinations on the same visit This list is passed 
GUIVisitaHandler to the instance of which shall display 
the visits made on the mask on the 
management visits (for instance GUIVisite) The Operator 
select the function visiting placement insert data 
Visit the new and confirms control passes to the application 
GUIVisiteHandler of the delegation which is to enter the 
new visit to the instance of VisiteManager latter through 
Visit the panel and ensure the inclusion of rescue 
data on a new tour and return control application 
GUIVisitaHandler of which in turn is responsible to notify 
success by viewing a 
message in the form of management 
visits (for instance GUIVisita)",0
1.txt,38.txt,"Input anagrafica laboratory 
It allows the operator to enter 
                 the anagrafica of a laboratory 
                 analysis or any data that the 
                 characterize 
                 Has an interest to enter the age of 
                 laboratory within the S I O 
The Operator has been recognized by ` 
                 System (See UcValOp) and has 
                 all the data that characterize 
                 the anagrafica of the laboratory 
The data in the S I O 
                 not be modified 
                 Success: The anagrafica of the laboratory 
                 is properly inserted inside 
                 the S I O 
The operator activates the execution of 
                 the anagrafica input service 
                 Laboratory 
1 View the mask 
     to enter 
     information needed
2 Inserts data about the anagrafica of 
                                laboratory 
3 Confirm placement 
4 Verify the data entered 
     by 
5 Stores data 
6 Notify that the operation 
     it is `finished with 
     success 
Data entered invalid 
4 1 Display a message showing the 
          data deemed invalid 
   4 2 Reinserts running from 1 
          underpinned the fields of the form with data 
          Entered 
Operator cancels operation 
   3 1 ends the execution of use case with 
          failure 
   2 1 The anagrafica of a laboratory is characterized ` 
          by the following data: name VAT 
          address city province CAP addresses 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correct completion of operation","Access section patient performed (by code 
     tax) 
     The service was launched following the express request 
by the actor The Operator logs on to form 
on the management section of the patient (body 
of GUILoginPaziente) insert the tax code that Patient 
has made a request and select the function 
The validation then passes control to the instance of 
GUILoginPazienteHandler which delegates to the instance of 
PazienteManager the task of managing the service this growth 
deals to validate the data entered by using 
The body of the patient outcome is the 
notified backward up to the instance of GUILoginPazienteHandler 
which requires the application of GUIPazienteHandler to enable 
access by the Section Patient 
applicant and that object shall display 
main form (for instance GUIPaziente) This feature is ` 
been described by the sequence diagram of Fig 3 13",0
5.txt,47.txt,"Changing  doctor anagrafica
It allows the operator to change 
                the anagrafica of a doctor who works 
                at the outpatient 
                It deals with the modification of data 
                about a doctor anagrafica 
The Operator has been recognized by ` 
                System (See UcValOp) and age 
                `the doctor is present within the 
                I S O 
The anagrafica data of the doctor 
                are not modified, remain in 
                This was before 
                Success: The personal doctor is 
                correctly changed 
The operator activates the execution of 
                Chanching service of the doctor anagrafica
1 View the list of 
     doctors present 
     in the S I O 
2 Select the anagrafica doctor which
                               change the anagrafica
3 Confirm the selection 
4 View the mask 
     for changing of 
     the doctor anagrafica
5 Changing the anagrafica of 
                               doctor 
6 Confirm Changes 
7 Verify the data insert by operator
Remember the 8 
     updates 
Notify 9 that the operation 
     it is `finished with 
     success 
Data entered invalid 
   7 1 Display a message showing the 
          data are invalid 
   7 2 take back running from 4 
          underpinned the fields of the form with data 
          insert by user
Operator cancels operation 
  3 1 ends the execution of use case with 
   6 1 failure 
   5 1 The anagrafica of a doctor is `characterized by 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          telephone specialization year 
          certification and additional notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correct completion of operation","Show anagrafica
     The service was launched following the express request 
by the Patient The actor Patient access to the mask 
main (for instance GUIPrincipale) on the management of 
all services provided by the system to the request of patients 
and there select the display of their anagrafica 
Master Control then goes to the instance of 
GUIPrincipaleHandler which delegates to the instance of 
GUIAnagraficaHandler the task of managing the service at this 
Point control is passed to the instance of PazienteManager 
which deals with finding by the panel of the Patient 
Patient data applicant Results are 
sent backward up to the instance of that GUIAnagraficaHandler 
turn is responsible for their display on the screen 
on the management of registries of patients (for instance 
GUIAnagrafica) This feature is was described by 
collaboration diagram of Fig 3 9",0
23.txt,44.txt,"Show anagrafica
Allows a patient of view 
                their anagrafica data using the 
                specific locations displaced 
                of the outpatient
                He has an interest in access to your 
                anagrafica information  
`The patient has been recognized by 
                system 
                (See UcAccTB) 
The patient obtains 
                display of their data 
                anagrafica
The patient activates the execution of 
                service display their 
                data anagrafica
1 Access to the database and 
     retrieves information 
     about anagrafica 
     Patient 
2 View 
     information anagrafiche 
     Patient 
Patient decides to print 
Information displayed 
   2 1 Start printing the list of 
          Reservations 
   2 2 generates the report and sends it to 
          Printer 
   2 1 The age of a patient is characterized by ` 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          Additional telephone and Notes","Cancel Reservation 

     The service was launched following the express request 
by the actor The Operator logs on to form 
on the main section patient (for instance GUIPaziente) 
and there select the elimination of a reservation 
The control then goes to the instance of the GUIPazienteHandler 
which delegates to the instance of the GUIEliminaPrenotazioniHandler 
task of managing the service The request for 
GUIEliminaPrenotazioneHandler delegation application 
PrenotazioniManager is to obtain a list of all 
Reservations from Patient This object through the 
Requests for reservations to ensure retrieval of the list and 
return to the instance of that GUIEliminaPrenotazioneHandler 
turn provides viewing data obtained 
in the mask (for instance GUIEliminaPrenotazione) 
The operator selects from the list by the reservation 
delete and control is passed to the instance of 
GUIEliminaPrenotazioneHandler which the request for delegation 
PrenotazioniManager of completing the transaction The application 
PrenotazioniManager through to the application for reservation shall 
to verify that the sequence is valid even after 
the elimination of reservation 
     Only if so the elimination of reservation 
is completed and will return control 
GUIEliminaPrenotazioneHandler to the instance of which shall 
notify the success of the transaction with a message 
on the screen (for instance GUIEliminaPrenotazione) This 
feature is was described by the collaboration diagram 
Fig 3 of 20",0
17.txt,44.txt,"Changing anagrafica patient 
It allows the operator to change 
                the anagrafica of a patient that are 
                at outpatient
                It deals with the modification of data 
                about anagrafica a Patient 
The Operator has been recognized by ` 
                System (See UcValOp) The patient is ` 
                been recognized by the system (See 
                UcValPaz) and the age of the patient is ` 
                inside of S I O 
The anagrafica data Patient 
                are not modified, remain in 
                This was before execution
                Success: The anagrafica of the patient is 
                properly changed
The operator activates the execution of 
                change Service  of the anagrafica
                Patient 
1 View the mask 
     for editing 
     the anagrafica of 
     Patient 
2 Cgange the anagrafica of 
                               Patient 
3 Confirm Changes 
4 Verify the data inserted by operator
5 Remember the 
     updates 
6 Notify that the operation 
     it is `finished with 
     success 
Invalid data set 
   4 1 Display a message showing the 
          data deemed invalid 
   4 2 Reinserts running from 1 
          underpinned the fields of the form with data 
          insterted by user
Operator cancels function 
change
   3 1 ends the execution of use case with 
          failure 
   2 1 The anagrafica of a patient is characterized by ` 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correct completion of the operation","Cancel Reservation 

     The service was launched following the express request 
by the actor The Operator logs on to form 
on the main section patient (for instance GUIPaziente) 
and there select the elimination of a reservation 
The control then goes to the instance of the GUIPazienteHandler 
which delegates to the instance of the GUIEliminaPrenotazioniHandler 
task of managing the service The request for 
GUIEliminaPrenotazioneHandler delegation application 
PrenotazioniManager is to obtain a list of all 
Reservations from Patient This object through the 
Requests for reservations to ensure retrieval of the list and 
return to the instance of that GUIEliminaPrenotazioneHandler 
turn provides viewing data obtained 
in the mask (for instance GUIEliminaPrenotazione) 
The operator selects from the list by the reservation 
delete and control is passed to the instance of 
GUIEliminaPrenotazioneHandler which the request for delegation 
PrenotazioniManager of completing the transaction The application 
PrenotazioniManager through to the application for reservation shall 
to verify that the sequence is valid even after 
the elimination of reservation 
     Only if so the elimination of reservation 
is completed and will return control 
GUIEliminaPrenotazioneHandler to the instance of which shall 
notify the success of the transaction with a message 
on the screen (for instance GUIEliminaPrenotazione) This 
feature is was described by the collaboration diagram 
Fig 3 of 20",0
27.txt,49.txt,"Report visits 
It allows the operator to have a 
                 record visits 
                 of the outpatient inside so 
                 have a total of visits 
                 made by a patient visits 
                 supported by a doctor etc 
                 The Operator's interest to have a 
                 report of visits 
                 within of the outpatient 
The Operator has been recognized by ` 
                 System (See UcValOp) 
The operator activates the execution of 
                 service record visits 
1 View the mask 
     for viewing 
     the reporting of 
     visits 
2 Select the time gap
3 Select the type of 
                                Information summary 
4 Confirm selection 
5 Access to the database and 
     found in the 
     training required 
6 View 
     information obtained 
Operator decides to print 
information 
   6 1 Start printing information 
          displayed 
   6 2 generates the report and sends it to 
          Printer 
Operator cancels the operation 
   4 1 ends the use case with failure 
   The Operator 3 1 can access the following 
          summary information: 
           all visits with 
             On the patient undergoes a doctor visit 
             who led the visit; 
           all visits made by the same 
          doctor with the dates of patients 
          visited the examinations required; 
           all visits made by a patient 
          with the dates of doctor 
          accused of diagnostic pathology examinations 
          and medicines prescribed","Show clinic folder
The service was launched following the explicit request 
The part of the Patient actor Patient access to the form 
main (for instance GUIPrincipale) on the management of 
all services provided by the system to the demands of patients 
and there select the display of their clinic folder
The patient then passes control to the instance of 
GUIPrincipaleHandler which delegates to the instance of 
GUICartellaClinicaHandler the task of managing the service 
the first step to take is to find the data for 
all visits and examinations carried out by Patient 
applicant, and therefore control passes to the instance of 
CartellaClinicaManager At this point through a process 
iterative are the retrieval of all visits and all 
step is carried out as follows: The body of 
VisiteManager found through the application of the data Visits 
for a visit and then passes control 
EsamiManager application to ensure that through instances of 
Consideration for finding all the examinations for the visit 
At the end of this process, the results are sent 
to the instance of CartellaClinicaManager The next step 
is to find anarafica data relating to patient 
applicant, and therefore control passes to the instance of 
PazienteManager through which the request for Patient Recovers 
such data and sends them up backward to the instance of 
CartellaClinicaManager At this point the control switches 
GUICartellaClinicaHandler to the instance of which shall 
visualization of anagrafica data and Patient visits 
performed on the mask on the management of folders 
clinics (for instance GUICartellaClinica) This feature is ` 
been described by the collaboration diagram of Fig 3 11",0
13.txt,33.txt,"Delete examination 
It allows the operator to delete a 
                 Visit previously recorded 
                 The Operator's interest to delete a 
                 review previously recorded 
The Operator has been recognized by ` 
                 System (See UcValOp) and the examination showed 
                 registered in the S I O 
The data in the S I O 
                 not be modified 
                 Success: The Folder Clinic Patient 
                 who had undergone to examination eliminated 
                 is updated 
The operator activates the execution of 
                 service elimination of an examination 
1 View a list of 
     examinations conducted in 
     chronological order 
2 Select the examination to
                                change 
3 Confirm your selection 
4 View the mask 
     for viewing 
     of 
5 Confirm delte
6 Delete the examination 
Notify the operator 7 
     that the operation was ` 
     concluded successfully 
Operator cancels the operation 
Review 
  3 1 ends the use case with failure 
   5 1 
   4 1 The mask will contain information relating to 
          selected so as to allow the 
          to monitor them in detail before proceeding 
          to delete","Inserting anagrafica laboratory 
      The service was launched following the express request 
by the actor The Operator logs on to form 
main (for instance GUIPrincipale) and there select the function 
The laboratories certified management control then 
GUIPrincipaleHandler to the instance of the delegation which application 
GUIAnagraficaLaboratorioHandler to the task of providing the 
The service first step is to obtain a list of all 
Laboratories therefore control passes to the instance of 
LaboratorioManager through which instances of Laboratory 
retrieves the list and return it backward up the application 
of GUIAnagraficaLaboratorioHandler Now that object 
shall display the list of laboratories received 
the mask on the management of database 
laboratories (for instance GUIAnagraficaLaboratorio) The Operator 
activates the function of the register inclusion of the laboratory 
inserts the data of a new outpatient and confirm the data 
control passes to the instance of the GUIAnagraficaLaboratorioHandler 
which delegation is to include a new laboratory 
The application of LaboratorioManager through 
The body of Laboratory to ensure the inclusion and 
saving data on the new lab passes the 
Subsequent GUIAnagraficaLaboratorioHandler which in turn 
deals with notification by the success of the 
displaying a message on the screen 
to managing the laboratories (for instance 
GUIAnagraficaLaboratorio) This feature has been described ` 
through collaboration diagram of Fig 3 4",0
6.txt,46.txt,"Delete anagrafica doctor 
It allows the operator to delete 
                the anagrafica of a doctor who works 
                at the outpatient 
                He works for the delete of data 
                of anagrafica related to a doctor 
The Operator has been recognized by ` 
                System (See UcValOp) and anagrafica 
                `the doctor is present within the 
                I S O 
The details of the doctor 
                are not modified, remain in 
                This state was before execution
                Success: The  doctor anagrafica is 
                successfully deleted 
The operator activates the execution of 
                delete of the register service 
                Laboratory 
1 View the list of 
      laboratories that are
     in the S I O 
2 Select the doctor which 
                               changing the anagrafica
3 Confirm the selection 
4 View the mask 
     to delete 
     the doctor anagrafica
6 confirm to delete of 
                               doctor 
7 Delete the data 
     about anagrafica of 
     doctor 
Notify 8 that the operation 
     it is `finished with 
     success 
Operator cancels operation 
  3 1 ends the execution of use case with 
   6 1 failure 
   4 1 The mask will contain data about the medical 
          selected so as to allow the operator 
          to examine them in detail before proceeding 
          to delete","Login failed validation patient Scenario 
     The service was launched following the explicit request 
by the Patient The actor Patient access to the screen 
on the management of the system (for instance 
GUISfondo) Control then goes to the instance of 
GUISfondoHandler which delegates to the instance of GUILoginHandler 
the task of managing the service The first step to take 
is to enter the Hospital Patient Card and PIN and then 
Patient is presented to the same page for the acquisition 
such data (for instance GUILogin) The tax Patient data 
and confirms the inclusion, control passes again 
to the instance of GUILoginHandler derogating validation 
HospitalCardManager to the instance of the latter deals 
validate the data iserted by the patient through the panel 
The hospital Card unsuccessful operation is notified 
backward up to the instance of which shall GUILoginHandler 
to display an error message on 
form of access (for instance GUILogin) This feature is ` 
been described by the sequence diagram of Fig 3 8",0
10.txt,47.txt,"Delete visit 
It allows the operator to delete a 
                 Visit previously recorded 
                 The Operator's interest to delete a 
                 Visit previously recorded 
The Operator has been recognized by ` 
                 System (See UcValOp) and the visit 
                 is registered in the S I O 
The data in the S I O 
                 not be modified 
                 Success: The Folder Clinic Patient 
                 which was submitted to visit 
                 eliminated is updated 
The operator activates the execution of 
                 service elimination of a visit 
1 View the list of 
     visits in 
     chronological order 
2 Select the visit to
                                delete 
3 Confirm the selection 
4 View the mask 
     for viewing 
     of visit 
5 Confirm the delete 
6 Delete the visit and 
     examinations related to it 
Notify the operator 7 
     that the operation was ` 
     concluded successfully 
Operator cancels the operation 
Review 
  3 1 ends the use case with failure 
   5 1 
   4 1 The mask will contain data on the visit 
          selected so as to allow the operator
          to verify them in detail before proceeding 
          to delete","Show anagrafica
     The service was launched following the express request 
by the Patient The actor Patient access to the mask 
main (for instance GUIPrincipale) on the management of 
all services provided by the system to the request of patients 
and there select the display of their anagrafica 
Master Control then goes to the instance of 
GUIPrincipaleHandler which delegates to the instance of 
GUIAnagraficaHandler the task of managing the service at this 
Point control is passed to the instance of PazienteManager 
which deals with finding by the panel of the Patient 
Patient data applicant Results are 
sent backward up to the instance of that GUIAnagraficaHandler 
turn is responsible for their display on the screen 
on the management of registries of patients (for instance 
GUIAnagrafica) This feature is was described by 
collaboration diagram of Fig 3 9",0
