UC,TC,source_content,target_content,label
18.txt,98.txt,"input anagrafica patient 
It allows the operator to enter 
                 the anagrafica of a patient who contact 
                 for the first time the outpatient 
                 The Operator has an interest in record 
                 the anagrafica of a new patient in 
                 As the contact for the first 
                 After the surgery and requires a 
                 Before booking for a Visit 
The Operator has been recognized by ` 
                 System (See UcValOp) The Patient 
                 issued to the form S A R 
                 with the section about anagrafica 
                 successfully completed 
The data in the S I O 
                 not be modified 
                 Success: The anagrafica of the patient is 
                 correctly maintained in memory and 
                 stored in the S I O only 
                 end of the reservation of the First 
                 Visit 
The operator activates the execution of 
                 reservation service of a First 
                 Visit 
1 View the mask 
     for input of necessary
     information 
2 Inserts data about anagrafica of 
                                Patient 
3 Confirm input
4 Verify the data inserted 
     by operator
5 Build and assigns 
     Hospital Card 
     (See BrCreCar) 
10 First visit 
Invalid data set 
   4 1 Display a message showing the 
          data deemed invalid 
   4 2 Reinserts running from 1 step
          underpinned the fields of the form with data 
          inserted by operator
Operator cancels function 
insertion 
   3 1 ends the execution of use case with 
          failure 
   2 1 The anagrafica  of a patient is characterized by ` 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correctly completion ofthe operation","Testing houses delete a Visit Date: 
    C48 control following a 20/06/2003 
            Day Hospital and precedes a 
            Other Day Hospital 
                                          Version: 
                                          0 02 000 
Use Case Meets the request for delete of 
UcAnnPre a booking service 
            made by an ambulatory patient 
Media Priorities 
Set up the previous reservation is `: 
                29/03/2003 hours 08 00 Day Hospital 
            The reservation is `Next: 
                01/10/2003 hours 08 00 Day Hospital 
Description test 
Input Visit selected: 
              30/09/2003 hours 09 00 Visit control 
Oracle Sequence invalid The system 
            allows delete 
Classes cover valid: ce3 CE8 CE12 
            Classes are not valid: None",0
9.txt,52.txt,"Changing visit 
It allows the operator to change a 
                 Visit previously recorded 
                 The Operator has an interest in a change 
                 Visit previously recorded 
The Operator has been recognized by  
                 System (See UcValOp) visit 
                 is registered in the S I O 
                 Operator and received data 
                 visit to be changing
The clinic of Folder 
                 Patient who was subjected to `visit 
                 is not changed 
                 Success: Information on 
                 Visit concerned are updated 
                 Folder inside the Clinic of
                 Patient 
The operator activates the execution of 
                 service editing a visit 
1 View the list of 
     visits in 
     chronological order 
2 Select the visit by 
                                change 
3 Confirm your selection 
4 View the mask 
     for the modification of a 
     visit 
5 Changing data of the
                                visit 
6 Confirm Changes 
7 Verify the data insert
     by operator
8 Remember the 
     updates 
9 Notify to the operator
     that the operation was ` 
     concluded successfully 
Input of Data about to a 
new examination 
   5 1 Inserting new examination 
              The Operator is interest to input data of
              an examination of the visit in object 
   5 2 Return to step 5 
Changing data on an examination 
   5 1 
            Change examination data 
          
              The Operator's interest to modify the data 
              an examination of the visit 
          
              Edit review 
   5 2 Return to step 5 
Changing data on a 
examination 
   5 1 
            Deleting data examination  
          
              The Operator's interest to delete data 
              an examination of the visit 
          
              Delete examination 
   5 2 Return to step 5 
Invalid data set 
   7 1 Show an appropriate message 
   7 2 take back running from 4 step
          underpinned the fields of the form with data 
          inserted by operator
Operator cancels the operation 
change
  3 1 ends the use case with failure 
   6 1 
   4 1 The data required for registration of 
          visit are: the date the name of the doctor who 
          carried out the survey the reason for the visit 
          illnesses accused by the patient history 
          made by medical diagnosis tests 
          prescribed therapy prescribed (indicating 
          Medicines and time of recruitment) and 'necessary 
          Furthermore, the inclusion of possible values 
          instrumental observations made during the visit 
          (eg heart beat the pressure 
          n number of blood found dioptres etc) 
          For biological testing and / or instrumental is ` 
          must enter information on the 
          laboratory that has made them the values of 
          results of each examination and evaluation 
          diagnosis made by medical","Login Operator test case by Date: 
    C02 login incorrect (number 20/06/2003 
            fewer characters) and 
            passwords stored on the 
            I S O 
                                            Version: 
                                             0 02 000 
Use Case He performs the functions 
UcValOpe necessary to authenticate an 
            Operator 
High Priority 
Set up Virago The password is `recorded in the SIO 
Description test 
Input Login: roc 
            Password: Virago 
Oracle Invalid Input: login 
Classes cover valid: CE7 
            Classes invalid: ce3",0
17.txt,67.txt,"Changing anagrafica patient 
It allows the operator to change 
                the anagrafica of a patient that are 
                at outpatient
                It deals with the modification of data 
                about anagrafica a Patient 
The Operator has been recognized by ` 
                System (See UcValOp) The patient is ` 
                been recognized by the system (See 
                UcValPaz) and the age of the patient is ` 
                inside of S I O 
The anagrafica data Patient 
                are not modified, remain in 
                This was before execution
                Success: The anagrafica of the patient is 
                properly changed
The operator activates the execution of 
                change Service  of the anagrafica
                Patient 
1 View the mask 
     for editing 
     the anagrafica of 
     Patient 
2 Cgange the anagrafica of 
                               Patient 
3 Confirm Changes 
4 Verify the data inserted by operator
5 Remember the 
     updates 
6 Notify that the operation 
     it is `finished with 
     success 
Invalid data set 
   4 1 Display a message showing the 
          data deemed invalid 
   4 2 Reinserts running from 1 
          underpinned the fields of the form with data 
          insterted by user
Operator cancels function 
change
   3 1 ends the execution of use case with 
          failure 
   2 1 The anagrafica of a patient is characterized by ` 
          following data: name surname sex code 
          Tax date of birth place of birth 
          province of birth place of address 
          home province of residence address ZIP code 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the correct completion of the operation","Entering test case data Date: 
    C17 details of a patient 20/06/2003 
            not recorded in S I O 
            (tax code and correct 
            not recorded in S I O) 
            The data are not included 
            none except the name 
                                          Version: 
                                          0 02 000 
Use Case He performs the functions 
UcInsPaz necessary for input of anagrafica of 
             a new patient 
Media Priorities 
Set up the tax code should not ZCCRCC80D13G942U 
            be registered in S I O 
Description test 
Input Tax: ZCCRCC80D13G942U 
            Name: 
            Surname: Rocco 
            Sex: M 
            Birth date: 13/04/1980 
            Place of birth: Power 
            Province of birth: PCS 
            Address: fraz Paoladoce 26 
            Place of residence: Avigliano 
            Province of residence: PCS 
            ZIP code: 85020 
            Contact information: 0971/87267 347/9908973 
Oracle Invalid Input: Name 
Classes cover valid: ce3 CE5 CE8 CE10 CE12 
            CE14 CE16 CE18 CE20 CE23 CE24 CE28 
            Classes invalid: CE2",0
30.txt,79.txt,"Plans reservations 
It allows the operator to view and / or 
                 print in tabular form plans 
                 Bookings made for each type 
                 Visit 
                 The Operator's interest to see 
                 and / or print the plans of reservations 
                 made 
The Operator has been recognized by ` 
                 System (See UcValOp) 
The operator activates the execution of 
                 service to view and / or print 
                 Plans reservations 
1 View a mask 
     To view and 
     print plans 
     Reservations 
2 Select the type of 
                                visit 
3 Enable 
4 Access to the database and 
     found in the 
     training required 
5 View 
     information obtained 
Operator decides to print 
information 
   5 1 Start printing information 
          displayed 
   5 2 generates the report and sends it to 
          Printer 
Operator cancels the operation 
   3 1 ends the use case with failure 
   2 1 The types of access that the operator can ""select 
          are: First Visit Day and Hospital Visit 
          Check 
   5 1 for each reservation in this plan 
          Reservations is the name and 
          name of patient","input test case data Date: 
    C29 details of a patient I 20/06/2003 
            data are not invalid 
            and the tax code is `not 
            proper (higher 
            Character) 
                                          Version: 
                                          0 02 000 
Use Case He performs the functions 
UcInsPaz necessary for input of anagrafica of 
             a new patient 
Media Priorities 
Set up not identified 
Description test 
Input Tax: 
            ZCCRCC80D13G942UZCCRCCCCCCCCC 
            Name: Rocco 
            Surname: Zaccagnino 
            Sex: M 
            Birth date: 13/04/1980 
            Place of birth: Power 
            Province of birth: PCS 
            Address: fraz Paoladoce 26 
            Place of residence: Avigliano 
            Province of residence: PCS 
            ZIP code: 85020 
            Contact information: 0971/87267 347/9908973 
Oracle: Invalid Input: Tax 
Classes cover valid: CE1 ce3 CE5 CE8 CE10 
: CE12 CE14 CE16 CE18 CE20 EC 28 
            Classes invalid: CE26 

",0
25.txt,90.txt,"Validation patient 
He works to perform the functions 
                necessary to authenticate an 
                patient 
                it's Interest to log on to 
                see your information 
The patient must be in possession of 
                Hospital Card 
The patient is not recognized ` 
                system 
                Success: The patient is recognized by ` 
                system and access to its section 
Patient access to Box Tower 
1 View the mask 
     for the operation 
     login 
2 input the code 
                               Hospital Card and the code 
                               PIN 
3 Confirm validation 
4 Verify that the couple 
     (Hospital Card PIN) 
     identifies a patient 
     within S I O 
Patient cancels function 
validation 
   3 1 ends the execution of use case with 
          failure 
Validation Failed 
   4 1 Show appropriate message 
   4 2 Reinserts running from 1 step","Test case reservation a visit Date: 
    C40 control preceded by 20/06/2003 
            A Day Hospital 
                                          Version: 
                                          0 02 000 
Use Case Meets the request for a reservation 
UcPreVis service by Outpatient a 
            patient 
High Priority 
Set up The last reservation is `: 
                03/10/2003 hours 08 00 Day Hospital 
Description test 
Input type selected visit: Visit 
            check 
The Oracle system enables the reservation of 
            visit 
Classes cover valid: ce3 CE7 
            Classes are not valid: None",0
25.txt,84.txt,"Validation patient 
He works to perform the functions 
                necessary to authenticate an 
                patient 
                it's Interest to log on to 
                see your information 
The patient must be in possession of 
                Hospital Card 
The patient is not recognized ` 
                system 
                Success: The patient is recognized by ` 
                system and access to its section 
Patient access to Box Tower 
1 View the mask 
     for the operation 
     login 
2 input the code 
                               Hospital Card and the code 
                               PIN 
3 Confirm validation 
4 Verify that the couple 
     (Hospital Card PIN) 
     identifies a patient 
     within S I O 
Patient cancels function 
validation 
   3 1 ends the execution of use case with 
          failure 
Validation Failed 
   4 1 Show appropriate message 
   4 2 Reinserts running from 1 step","Test case reservation a First Date: 
    C34 preceded by a visit 20/06/2003 
            Visit control 
                                          Version: 
                                          0 02 000 
Use Case Meets the request for a reservation 
UcPreVis service by Outpatient a 
            patient 
Media Priorities 
Set up The last reservation is `: 
            30/09/2003 hours 10 30 Visit control 
Description test 
Input type selected visit: First visit 
Oracle Sequence invalid The system 
            allows the reservation of the visit 
Classes cover valid: CE1 CE8 
            Classes are not valid: None",0
6.txt,51.txt,"Delete anagrafica doctor 
It allows the operator to delete 
                the anagrafica of a doctor who works 
                at the outpatient 
                He works for the delete of data 
                of anagrafica related to a doctor 
The Operator has been recognized by ` 
                System (See UcValOp) and anagrafica 
                `the doctor is present within the 
                I S O 
The details of the doctor 
                are not modified, remain in 
                This state was before execution
                Success: The  doctor anagrafica is 
                successfully deleted 
The operator activates the execution of 
                delete of the register service 
                Laboratory 
1 View the list of 
      laboratories that are
     in the S I O 
2 Select the doctor which 
                               changing the anagrafica
3 Confirm the selection 
4 View the mask 
     to delete 
     the doctor anagrafica
6 confirm to delete of 
                               doctor 
7 Delete the data 
     about anagrafica of 
     doctor 
Notify 8 that the operation 
     it is `finished with 
     success 
Operator cancels operation 
  3 1 ends the execution of use case with 
   6 1 failure 
   4 1 The mask will contain data about the medical 
          selected so as to allow the operator 
          to examine them in detail before proceeding 
          to delete","Test case Operator Login Date: 
    C01's login through 20/06/2003 
            correct and incorrect password 
            torque (login password) 
            in S I O 
                                            Version: 
                                             0 02 000 
Use Case He performs the functions 
UcValOpe necessary to authenticate an 
            Operator 
High Priority 
The couple set up (login password) = (Rocolo 
            Virago) is recorded in the `S I O 
Description test 
Input Login: Rocolo 
            Password: Virago 
The Oracle system allows access 
            the operator 
Classes cover valid: CE1 CE2 CE6 CE7 
            Classes are not valid: None",0
2.txt,79.txt,"Changing anagrafica laboratory 
It allows the operator to change 
                the anagrafica of a laboratory analysis 
                It deals with the modification of data 
                about anagrafica of laboratory 
                analysis 
The Operator has been recognized by 
                System (See UcValOp) and anagrafica 
                Laboratory is inside the 
                I S O 
The anagrafica data of 
                laboratory are not changed: 
                remain in the state this first 
                of 
                Success: The anagrafica of the laboratory 
                is properly amended 
The operator activates the execution of 
                Service changing of the anagrafica of 
                laboratory 
1 View the list of 
     laboratories 
     in the S I O 
2 Select the laboratory  Which change 
                               the anagrafica 
3 Confirm your selection 
4 View the mask 
     for editing 
    the anagrafica of 
     laboratory 
5 Changing the angrafica of 
                               laboratory 
Confirm the changes 6 
7 Verify the data insert by operator
8 Remember the 
     updates 
9 Notify  that the operation 
     it is finished with 
     success 
Data entered invalid 
   7 1 Display a message showing the 
          data deemed invalid 
   7 2 Reinserts running from 4 
          underpinned the fields of the form with data 
          Entered 
Operator cancels operation 
  3 1 ends the execution of use case with 
   6 1 failure 
   5 1 The anagrafica of a laboratory is characterized ` 
          by the following data: name VAT 
          address city province CAP addresses 
          Additional telephone and Notes 
          NB: In italics are highlighted data 
          Optional whose inclusion does not affect 
          on the proper completion of","input test case data Date: 
    C29 details of a patient I 20/06/2003 
            data are not invalid 
            and the tax code is `not 
            proper (higher 
            Character) 
                                          Version: 
                                          0 02 000 
Use Case He performs the functions 
UcInsPaz necessary for input of anagrafica of 
             a new patient 
Media Priorities 
Set up not identified 
Description test 
Input Tax: 
            ZCCRCC80D13G942UZCCRCCCCCCCCC 
            Name: Rocco 
            Surname: Zaccagnino 
            Sex: M 
            Birth date: 13/04/1980 
            Place of birth: Power 
            Province of birth: PCS 
            Address: fraz Paoladoce 26 
            Place of residence: Avigliano 
            Province of residence: PCS 
            ZIP code: 85020 
            Contact information: 0971/87267 347/9908973 
Oracle: Invalid Input: Tax 
Classes cover valid: CE1 ce3 CE5 CE8 CE10 
: CE12 CE14 CE16 CE18 CE20 EC 28 
            Classes invalid: CE26 

",0
15.txt,88.txt,"Changing reservation 
It allows the operator to meet 
                 request to change a reservation 
                 a service by Outpatient 
                 To change a patient means the 
                 shift the date to a date 
                 Next 
                 The Operator has an interest in changing the 
                 renting an outpatient service 
                 previously requested by a patient 
The Operator has been recognized by ` 
                 System (See UcValOp) The patient is ` 
                 been recognized by the system (See 
                 UcValPaz) and the reservation of which 
                 requires the amendment is `this 
                 in the S I O 
The data in the S I O 
                 not be modified 
                 Success: The reservation is 
                 successfully slipped a date 
                 Next 
The operator activates the execution of 
                 Service to changing a reservation 
1 View the list of 
     Reservations for the 
     Patient 
2 Select the reservation 
                                to be change 
3 Confirm  selection 
4 View the mask 
     for changing the 
     Reservations 
5 Includes (Select dates 
     available) 
6 confirm the change 
7 Verification that the sequence 
     Reservations is 
     valid 
     (See BrValSeq) 
Remember the 8 
     updates 
Notify the operator 10 
     that the operation was ` 
     concluded successfully 
Sequence reservations invalid 
   7 1 System: Show an appropriate message 
   7 2 System: Rejuvenating running from 4 step
Operator cancels the operation 
Review 
  3 1 ends the use case with failure 
   6 1 
   7 1 The sequence of reservations must be ricontrollata 
          because the patient may take the 
          Editing a different reservation 
          since last","Test case reservation a Day Date: 
    C38 Hospital by a 20/06/2003 
            new patient 
                                          Version: 
                                          0 02 000 
Use Case Meets the request for a reservation 
UcPreVis service by Outpatient a 
            patient 
High Priority 
Set up There are no previous reservations 
Description test 
Input type selected visit: Day Hospital 
Oracle Sequence invalid The system 
            allows the reservation of the visit 
Classes cover valid: CE2 CE5 
            Classes are not valid: None",0
14.txt,85.txt,"Book visit 
It allows the operator to meet 
                 request for a booking service 
                 made by an ambulatory patient 
                 The Operator has an interest in the record 
                 renting an outpatient service 
                 requested by a patient 
The Operator has been recognized by ` 
                 System (See UcValOp) The patient is ` 
                 been recognized by the system (See 
                 UcValPaz) and has issued to 
                 The module R S A properly completed 
The data in the S I O 
                 not be modified 
                 Success: The outpatient service 
                 required is properly booked 
The operator activates the execution of 
                 service booking service 
                 Outpatient 
1 
       First visit 
     
        The Operator has 
        received a request 
        First visit 
        part of a patient 
     
        Inserting anagrafica
     patient 
2 View the mask 
     for booking of
     service 
     Outpatient 
3 Select the type of visit 
                                that the patient wants 
                                make 
4 Inserts motivation of the
                                Request 
5 Confirm data inserted
6 Verify that the sequence 
     Reservations are 
     valid 
     (See BrValSeq) 
Includes 7 (Select dates 
     available) 
8 Confirm your reservation 
9 Stores data 
Notify the operator 10 
     that the operation was ` 
     concluded successfully 
Sequence reservations invalid 
   6 1 Show an appropriate message 
   6 2 Reinserts execution from step 2 
Operator cancels the operation 
Reservations 
  5 1 ends the use case with failure 
   8 1 
   9 1 For a first visit has shown to this point 
          that will be saved even the personal data 
          In addition, the patient always in the case of a 
          Before visiting the system will 
          view and print the card in hospital 
          patient","Test case reservation a Day Date: 
    C35 Hospital preceded by a 20/06/2003 
            First visit 
                                          Version: 
                                          0 02 000 
Use Case Meets the request for a reservation 
UcPreVis service by Outpatient a 
            patient 
High Priority 
Set up The last reservation is `: 
                26/09/2003 hours 11 00 First visit 
Description test 
Input type selected visit: Day Hospital 
The Oracle system enables the reservation of 
            visit 
Classes cover valid: CE2 CE6 
            Classes are not valid: None",1
